Date,Soil_moisture
21/05/2003,0.321
22/05/2003,0.3175
23/05/2003,0.32325
24/05/2003,0.32975
25/05/2003,0.33375
26/05/2003,0.345
27/05/2003,0.33575
28/05/2003,0.33925
29/05/2003,0.3295
30/05/2003,0.3215
31/05/2003,0.3295
01/06/2003,0.33425
02/06/2003,0.33175
03/06/2003,0.323
04/06/2003,0.31475
05/06/2003,0.336
06/06/2003,0.3265
07/06/2003,0.335
08/06/2003,0.331
09/06/2003,0.32175
10/06/2003,0.3165
11/06/2003,0.32925
12/06/2003,0.3255
13/06/2003,0.34225
14/06/2003,0.33075
15/06/2003,0.327
16/06/2003,0.32275
17/06/2003,0.32
18/06/2003,0.32275
19/06/2003,0.32125
20/06/2003,0.33175
21/06/2003,0.329
22/06/2003,0.367208333
23/06/2003,0.34075
24/06/2003,0.331833333
25/06/2003,0.325083333
26/06/2003,0.318041667
27/06/2003,0.315416667
28/06/2003,0.313041667
29/06/2003,0.308458333
30/06/2003,0.307875
01/07/2003,0.303458333
02/07/2003,0.301208333
03/07/2003,0.297416667
04/07/2003,0.291583333
05/07/2003,0.287791667
06/07/2003,0.28175
07/07/2003,0.278416667
08/07/2003,0.275625
09/07/2003,0.286166667
10/07/2003,0.288791667
11/07/2003,0.305625
12/07/2003,0.304916667
13/07/2003,0.293125
14/07/2003,0.288833333
15/07/2003,0.280333333
16/07/2003,0.282833333
17/07/2003,0.284291667
18/07/2003,0.276
19/07/2003,0.2745
20/07/2003,0.267666667
21/07/2003,0.264833333
22/07/2003,0.284
23/07/2003,0.293291667
24/07/2003,0.289666667
25/07/2003,0.291083333
26/07/2003,0.278666667
27/07/2003,0.271875
28/07/2003,0.263791667
29/07/2003,0.255875
30/07/2003,0.249666667
31/07/2003,0.243291667
01/08/2003,0.2685
02/08/2003,0.297333333
03/08/2003,0.297333333
04/08/2003,0.2975
05/08/2003,0.297666667
06/08/2003,0.297666667
07/08/2003,0.297666667
08/08/2003,0.297
09/08/2003,0.29425
10/08/2003,0.294
11/08/2003,0.297541667
12/08/2003,0.314708333
13/08/2003,0.308833333
14/08/2003,0.305416667
15/08/2003,0.292166667
16/08/2003,0.283958333
17/08/2003,0.27725
18/08/2003,0.293208333
19/08/2003,0.294708333
20/08/2003,0.284958333
21/08/2003,0.276208333
22/08/2003,0.277916667
23/08/2003,0.280708333
24/08/2003,0.273125
25/08/2003,0.2665
26/08/2003,0.260625
27/08/2003,0.250583333
28/08/2003,0.247333333
29/08/2003,0.242458333
30/08/2003,0.23875
31/08/2003,0.239291667
01/09/2003,0.238125
02/09/2003,0.277541667
03/09/2003,0.272375
04/09/2003,0.279875
05/09/2003,0.277625
06/09/2003,0.266333333
07/09/2003,0.257083333
08/09/2003,0.249958333
09/09/2003,0.245666667
10/09/2003,0.242291667
11/09/2003,0.236
12/09/2003,0.232833333
13/09/2003,0.229083333
14/09/2003,0.226666667
15/09/2003,0.225333333
16/09/2003,0.254041667
17/09/2003,0.250416667
18/09/2003,0.243583333
19/09/2003,0.25675
20/09/2003,0.266208333
21/09/2003,0.261958333
22/09/2003,0.253083333
23/09/2003,0.287833333
24/09/2003,0.302666667
25/09/2003,0.290333333
26/09/2003,0.3095
27/09/2003,0.300916667
28/09/2003,0.321125
29/09/2003,0.320958333
30/09/2003,0.312208333
01/10/2003,0.304333333
02/10/2003,0.301125
03/10/2003,0.298541667
04/10/2003,0.296125
05/10/2003,0.306916667
06/10/2003,0.3005
07/10/2003,0.2985
08/10/2003,0.292541667
09/10/2003,0.289291667
10/10/2003,0.286875
11/10/2003,0.285458333
12/10/2003,0.283541667
13/10/2003,0.283208333
14/10/2003,0.28175
15/10/2003,0.331625
16/10/2003,0.316875
17/10/2003,0.306208333
18/10/2003,0.308416667
19/10/2003,0.307375
20/10/2003,0.305625
21/10/2003,0.300333333
22/10/2003,0.3025
23/10/2003,0.310333333
24/10/2003,0.3125
25/10/2003,0.30925
26/10/2003,0.306
27/10/2003,0.345875
28/10/2003,0.330708333
29/10/2003,0.347958333
30/10/2003,0.329375
31/10/2003,0.320791667
01/11/2003,0.310916667
02/11/2003,0.309208333
03/11/2003,0.308583333
04/11/2003,0.311958333
05/11/2003,0.327791667
06/11/2003,0.324166667
07/11/2003,0.316125
08/11/2003,0.31675
09/11/2003,0.3165
10/11/2003,0.315208333
11/11/2003,0.315333333
12/11/2003,0.315333333
13/11/2003,0.323208333
14/11/2003,0.321375
15/11/2003,0.32075
16/11/2003,0.319291667
17/11/2003,0.313208333
18/11/2003,0.3065
19/11/2003,0.312791667
20/11/2003,0.346333333
21/11/2003,0.324583333
22/11/2003,0.320291667
23/11/2003,0.318541667
24/11/2003,0.315458333
25/11/2003,0.32125
26/11/2003,0.325625
27/11/2003,0.318791667
28/11/2003,0.31925
29/11/2003,0.329833333
30/11/2003,0.326166667
01/12/2003,0.325583333
02/12/2003,0.327
03/12/2003,0.323958333
04/12/2003,0.320125
05/12/2003,0.320041667
06/12/2003,0.312625
07/12/2003,0.318125
08/12/2003,0.316708333
09/12/2003,0.3165
10/12/2003,0.314875
11/12/2003,0.333583333
12/12/2003,0.337416667
13/12/2003,0.33
14/12/2003,0.330958333
15/12/2003,0.326375
16/12/2003,0.327916667
17/12/2003,0.346583333
18/12/2003,0.362375
19/12/2003,0.354666667
20/12/2003,0.362166667
21/12/2003,0.362958333
22/12/2003,0.360125
23/12/2003,0.362
24/12/2003,0.407333333
