Date,Soil_temperature
20/05/2003,18.309
21/05/2003,16.794
22/05/2003,15.76175
23/05/2003,14.823
24/05/2003,14.149
25/05/2003,14.563
26/05/2003,14.60625
27/05/2003,14.97925
28/05/2003,16.112
29/05/2003,16.62025
30/05/2003,17.589
31/05/2003,17.21225
01/06/2003,17.00025
02/06/2003,15.557
03/06/2003,16.43575
04/06/2003,16.9995
05/06/2003,16.7235
06/06/2003,17.5745
07/06/2003,17.79275
08/06/2003,17.702
09/06/2003,17.7835
10/06/2003,18.4245
11/06/2003,18.60475
12/06/2003,19.7635
13/06/2003,19.3155
14/06/2003,18.63925
15/06/2003,19.51375
16/06/2003,18.8865
17/06/2003,18.3805
18/06/2003,18.267
19/06/2003,18.71425
20/06/2003,19.025
21/06/2003,18.779
22/06/2003,17.155
23/06/2003,18.72025
24/06/2003,20.896
25/06/2003,21.83975
26/06/2003,22.7245
27/06/2003,23.38325
28/06/2003,22.20075
29/06/2003,21.73825
30/06/2003,21.99975
01/07/2003,21.428
02/07/2003,21.37725
03/07/2003,21.98925
04/07/2003,22.1535
05/07/2003,23.1245
06/07/2003,23.69425
07/07/2003,23.42575
08/07/2003,23.84125
09/07/2003,23.0245
10/07/2003,21.61625
11/07/2003,21.241
12/07/2003,21.44675
13/07/2003,21.93775
14/07/2003,21.52425
15/07/2003,21.936
16/07/2003,22.07975
17/07/2003,22.21125
18/07/2003,22.28975
19/07/2003,22.425
20/07/2003,21.8445
21/07/2003,22.19325
22/07/2003,22.91525
23/07/2003,23.59075
24/07/2003,23.87775
25/07/2003,23.685
26/07/2003,23.53775
27/07/2003,24.09625
28/07/2003,23.86975
29/07/2003,22.9615
30/07/2003,23.034
31/07/2003,23.17325
01/08/2003,22.2815
02/08/2003,21.6725
03/08/2003,22.08475
04/08/2003,21.95975
05/08/2003,21.78425
06/08/2003,21.80775
07/08/2003,23.51675
08/08/2003,24.024
09/08/2003,24.45925
10/08/2003,22.7955
11/08/2003,23.273
12/08/2003,24.502
13/08/2003,24.751
14/08/2003,24.80725
15/08/2003,25.2475
16/08/2003,25.20325
17/08/2003,24.80175
18/08/2003,23.5955
19/08/2003,23.8745
20/08/2003,24.1255
21/08/2003,24.74925
22/08/2003,25.365
23/08/2003,24.34175
24/08/2003,22.00475
25/08/2003,21.84675
26/08/2003,22.90225
27/08/2003,23.72575
28/08/2003,22.8205
29/08/2003,21.75275
30/08/2003,23.64925
31/08/2003,21.47925
01/09/2003,20.915
02/09/2003,20.31075
03/09/2003,20.7525
04/09/2003,21.0325
05/09/2003,21.2995
06/09/2003,20.9735
07/09/2003,20.933
08/09/2003,21.5385
09/09/2003,20.2895
10/09/2003,19.32975
11/09/2003,20.594
12/09/2003,20.4495
13/09/2003,20.36175
14/09/2003,22.0035
15/09/2003,22.7945
16/09/2003,22.9365
17/09/2003,21.49025
18/09/2003,20.878
19/09/2003,20.48
20/09/2003,23.155
21/09/2003,21.928
22/09/2003,20.9275
23/09/2003,21.1675
24/09/2003,20.35175
25/09/2003,20.5195
26/09/2003,20.39375
27/09/2003,20.55325
28/09/2003,21.50875
29/09/2003,20.0135
30/09/2003,18.3315
01/10/2003,17.122
02/10/2003,16.5005
03/10/2003,15.05825
04/10/2003,15.2265
05/10/2003,15.14175
06/10/2003,14.46675
07/10/2003,13.973
08/10/2003,15.293
09/10/2003,17.42275
10/10/2003,17.558
11/10/2003,17.5825
12/10/2003,17.3935
13/10/2003,17.6085
14/10/2003,16.6735
15/10/2003,16.93825
16/10/2003,14.4555
17/10/2003,13.02475
18/10/2003,14.4695
19/10/2003,13.645
20/10/2003,12.7705
21/10/2003,14.4605
22/10/2003,14.441
23/10/2003,12.22275
24/10/2003,11.58575
25/10/2003,11.36225
26/10/2003,13.89475
27/10/2003,16.52925
28/10/2003,15.991
29/10/2003,15.013
30/10/2003,14.80375
31/10/2003,14.27
01/11/2003,15.323
02/11/2003,13.43360623
03/11/2003,13.29309592
04/11/2003,12.61900224
05/11/2003,11.31544373
06/11/2003,11.81322068
07/11/2003,12.10148746
08/11/2003,11.02512189
09/11/2003,9.69981866
10/11/2003,9.511986818
11/11/2003,10.00253219
12/11/2003,10.92045309
13/11/2003,11.49861222
14/11/2003,10.38126767
15/11/2003,9.266482549
16/11/2003,9.27984811
17/11/2003,9.715350469
18/11/2003,10.8465
19/11/2003,11.69425
20/11/2003,13.55
21/11/2003,12.05475
22/11/2003,11.8865
23/11/2003,11.14275
24/11/2003,10.7335
25/11/2003,9.71325
26/11/2003,9.35575
27/11/2003,9.72725
28/11/2003,10.84775
29/11/2003,12.4405
30/11/2003,10.074
01/12/2003,9.722
02/12/2003,8.50325
03/12/2003,6.86075
04/12/2003,6.28675
05/12/2003,5.98875
06/12/2003,5.89975
07/12/2003,5.9165
08/12/2003,6.16425
09/12/2003,6.561
10/12/2003,6.80725
11/12/2003,6.74825
12/12/2003,6.705
13/12/2003,6.75725
14/12/2003,6.16725
15/12/2003,6.25025
16/12/2003,6.47525
17/12/2003,6.362
18/12/2003,5.9335
19/12/2003,6.56175
20/12/2003,6.66775
21/12/2003,6.48475
22/12/2003,6.47975
23/12/2003,6.6605
24/12/2003,7.586
25/12/2003,8.36725
26/12/2003,6.699
27/12/2003,6.4995
28/12/2003,6.437
29/12/2003,6.532
30/12/2003,6.72525
31/12/2003,6.7575
01/01/2004,6.70575
02/01/2004,6.43275
03/01/2004,6.57475
04/01/2004,7.335
05/01/2004,7.1025
06/01/2004,6.81175
07/01/2004,6.24025
08/01/2004,5.74925
09/01/2004,5.081
10/01/2004,4.05275
11/01/2004,3.44125
12/01/2004,4.29225
13/01/2004,4.71975
14/01/2004,4.56775
15/01/2004,4.3255
16/01/2004,4.16175
17/01/2004,4.2585
18/01/2004,4.533
19/01/2004,4.5875
20/01/2004,4.43225
21/01/2004,4.3635
22/01/2004,4.37525
23/01/2004,4.43625
24/01/2004,4.1515
25/01/2004,3.91475
26/01/2004,3.796
27/01/2004,4.165
28/01/2004,4.29625
29/01/2004,4.512
30/01/2004,4.539
31/01/2004,4.537
01/02/2004,4.5505
02/02/2004,4.54925
03/02/2004,4.6355
04/02/2004,3.819
05/02/2004,3.13925
06/02/2004,2.92625
07/02/2004,2.60725
08/02/2004,2.48575
09/02/2004,2.345
10/02/2004,2.43975
11/02/2004,4.55175
12/02/2004,4.854
13/02/2004,4.8295
14/02/2004,4.89175
15/02/2004,4.8365
16/02/2004,4.84275
17/02/2004,4.76625
18/02/2004,4.822
19/02/2004,4.82225
20/02/2004,4.854
21/02/2004,4.84075
22/02/2004,4.85425
23/02/2004,4.9485
24/02/2004,4.9665
25/02/2004,4.9545
26/02/2004,4.96975
27/02/2004,4.922
28/02/2004,5.17525
29/02/2004,5.32425
01/03/2004,4.99575
02/03/2004,5.884
03/03/2004,6.3145
04/03/2004,5.616
05/03/2004,5.017
06/03/2004,6.397
07/03/2004,5.48675
08/03/2004,4.582
09/03/2004,5.6775
10/03/2004,6.05175
11/03/2004,6.5415
12/03/2004,5.64425
13/03/2004,5.5895
14/03/2004,5.51375
15/03/2004,5.80225
16/03/2004,5.48275
17/03/2004,5.55175
18/03/2004,5.5695
19/03/2004,5.57525
20/03/2004,5.65975
21/03/2004,6.177
22/03/2004,5.42825
23/03/2004,5.289
24/03/2004,6.48975
25/03/2004,7.02025
26/03/2004,8.40575
27/03/2004,10.1755
28/03/2004,9.7265
29/03/2004,8.718
30/03/2004,8.085
31/03/2004,7.86075
01/04/2004,8.106
02/04/2004,8.4165
03/04/2004,8.42625
04/04/2004,8.857
05/04/2004,8.456
06/04/2004,8.1615
07/04/2004,8.602
08/04/2004,9.30275
09/04/2004,9.90675
10/04/2004,9.93575
11/04/2004,10.00425
12/04/2004,10.31375
13/04/2004,9.703
14/04/2004,11.1325
15/04/2004,11.235
16/04/2004,10.80275
17/04/2004,11.8045
18/04/2004,13.88275
19/04/2004,14.47
20/04/2004,15.4785
21/04/2004,13.996
22/04/2004,14.802
23/04/2004,14.58675
24/04/2004,13.7515
25/04/2004,13.2645
26/04/2004,12.57975
27/04/2004,14.41275
28/04/2004,13.97
29/04/2004,13.83
30/04/2004,15.9435
01/05/2004,16.97125
02/05/2004,17.36025
03/05/2004,17.2545
04/05/2004,14.7385
05/05/2004,13.94825
06/05/2004,14.716
07/05/2004,16.714
08/05/2004,15.889
09/05/2004,14.74875
10/05/2004,15.16225
11/05/2004,17.40525
12/05/2004,18.655
13/05/2004,19.20375
14/05/2004,18.1125
15/05/2004,19.70825
16/05/2004,19.92625
17/05/2004,19.2835
18/05/2004,19.17075
19/05/2004,19.60275
20/05/2004,18.4045
21/05/2004,18.66525
22/05/2004,18.04575
23/05/2004,17.04
24/05/2004,17.65475
25/05/2004,17.27125
26/05/2004,16.08175
27/05/2004,16.757
28/05/2004,17.72925
29/05/2004,17.0045
30/05/2004,16.3185
31/05/2004,16.70625
01/06/2004,16.01725
02/06/2004,16.28325
03/06/2004,17.41175
04/06/2004,17.06575
05/06/2004,17.40775
06/06/2004,16.86925
07/06/2004,17.08175
08/06/2004,19.45675
09/06/2004,21.01375
10/06/2004,20.88825
11/06/2004,18.59225
12/06/2004,17.9775
13/06/2004,18.3955
14/06/2004,18.838
15/06/2004,20.53325
16/06/2004,21.1765
17/06/2004,21.19175
18/06/2004,21.3205
19/06/2004,21.2035
20/06/2004,19.7635
21/06/2004,19.2815
22/06/2004,19.75925
23/06/2004,20.58975
24/06/2004,20.4405
25/06/2004,19.4215
26/06/2004,20.7475
27/06/2004,19.722
28/06/2004,19.53175
29/06/2004,19.90625
30/06/2004,20.258
01/07/2004,20.589
02/07/2004,20.42
03/07/2004,19.189
04/07/2004,18.73075
05/07/2004,18.88625
06/07/2004,19.09575
07/07/2004,20.995
08/07/2004,22.073
09/07/2004,21.82425
10/07/2004,21.59925
11/07/2004,21.77975
12/07/2004,21.74775
13/07/2004,21.2135
14/07/2004,20.99825
15/07/2004,21.58275
16/07/2004,21.85
17/07/2004,22.374
18/07/2004,22.755
19/07/2004,22.79125
20/07/2004,23.4495
21/07/2004,23.33075
22/07/2004,23.72025
23/07/2004,24.16425
24/07/2004,23.6765
25/07/2004,22.46025
26/07/2004,22.052
27/07/2004,21.94125
28/07/2004,20.89375
29/07/2004,22.2285
30/07/2004,23.00125
31/07/2004,24.361
01/08/2004,25.13075
02/08/2004,25.03675
03/08/2004,24.807
04/08/2004,25.059
05/08/2004,22.88425
06/08/2004,22.04025
07/08/2004,20.9265
08/08/2004,20.71275
09/08/2004,21.147
10/08/2004,21.984
11/08/2004,22.905
12/08/2004,23.40675
13/08/2004,24.02475
14/08/2004,23.93675
15/08/2004,22.82475
16/08/2004,22.14225
17/08/2004,21.788
18/08/2004,22.4655
19/08/2004,23.4925
20/08/2004,24.02975
21/08/2004,21.61225
22/08/2004,19.146
23/08/2004,18.6965
24/08/2004,18.9805
25/08/2004,20.367
26/08/2004,20.688
27/08/2004,21.7650772
28/08/2004,22.90149983
29/08/2004,23.57181357
30/08/2004,23.50307544
31/08/2004,24.6755
01/09/2004,23.31425
02/09/2004,22.2135
03/09/2004,21.85075
04/09/2004,22.748
05/09/2004,21.75
06/09/2004,20.63975
07/09/2004,21.24125
08/09/2004,22.50775
09/09/2004,22.589
10/09/2004,22.96975
11/09/2004,21.6445
12/09/2004,21.11225
13/09/2004,21.64675
14/09/2004,20.67275
15/09/2004,20.50425
16/09/2004,21.302
17/09/2004,22.1785
18/09/2004,20.02125
19/09/2004,17.636
20/09/2004,16.173
21/09/2004,18.6535
22/09/2004,20.07375
23/09/2004,21.05475
24/09/2004,20.27425
25/09/2004,20.46125
26/09/2004,21.19775
27/09/2004,20.0195
28/09/2004,19.89575
29/09/2004,19.07375
30/09/2004,17.77
01/10/2004,18.75825
02/10/2004,18.8755
03/10/2004,18.53375
04/10/2004,17.332
05/10/2004,17.03
06/10/2004,15.1175
07/10/2004,16.11775
08/10/2004,17.37825
09/10/2004,18.43325
10/10/2004,18.49175
11/10/2004,17.13575
12/10/2004,16.3105
13/10/2004,16.0615
14/10/2004,16.06975
15/10/2004,16.72225
16/10/2004,16.96675
17/10/2004,16.02725
18/10/2004,15.35775
19/10/2004,14.41925
20/10/2004,14.1945
21/10/2004,13.924
22/10/2004,13.917
23/10/2004,13.32625
24/10/2004,13.562
25/10/2004,13.66725
26/10/2004,12.9925
27/10/2004,13.746
28/10/2004,13.26475
29/10/2004,12.926
30/10/2004,13.891
31/10/2004,15.913
01/11/2004,15.195
02/11/2004,13.629
03/11/2004,14.165
04/11/2004,12.4595
05/11/2004,12.23375
06/11/2004,12.11425
07/11/2004,13.03
08/11/2004,13.3545
09/11/2004,10.82375
10/11/2004,9.3915
11/11/2004,10.019
12/11/2004,10.50225
13/11/2004,9.83725
14/11/2004,9.422
15/11/2004,9.32025
16/11/2004,9.41175
17/11/2004,9.5765
18/11/2004,10.8295
19/11/2004,12.32925
20/11/2004,11.2175
21/11/2004,11.385
22/11/2004,11.42425
23/11/2004,10.47725
24/11/2004,11.0105
25/11/2004,13.8505
26/11/2004,11.08225
27/11/2004,9.88475
28/11/2004,10.798
29/11/2004,10.92225
30/11/2004,9.878
01/12/2004,10.596
02/12/2004,10.454
03/12/2004,9.35725
04/12/2004,8.681
05/12/2004,9.18725
06/12/2004,8.32875
07/12/2004,8.00075
08/12/2004,8.47375
09/12/2004,8.53125
10/12/2004,8.34525
11/12/2004,9.12075
12/12/2004,9.2415
13/12/2004,8.9645
14/12/2004,8.30775
15/12/2004,6.43725
16/12/2004,5.8455
17/12/2004,5.6925
18/12/2004,5.60675
19/12/2004,5.514
20/12/2004,5.547
21/12/2004,5.61375
22/12/2004,5.66925
23/12/2004,6.451
24/12/2004,6.79675
25/12/2004,3.95275
26/12/2004,2.67
27/12/2004,2.3605
28/12/2004,2.21775
29/12/2004,2.348
30/12/2004,2.80975
31/12/2004,2.93775
01/01/2005,3.43475
02/01/2005,2.9235
03/01/2005,4.131
04/01/2005,7.17725
05/01/2005,7.05775
06/01/2005,6.7165
07/01/2005,6.82775
08/01/2005,6.934
09/01/2005,6.906
10/01/2005,6.954
11/01/2005,7.019
12/01/2005,6.9225
13/01/2005,6.86075
14/01/2005,7.00225
15/01/2005,6.80075
16/01/2005,6.24425
17/01/2005,6.07375
18/01/2005,5.508
19/01/2005,5.2185
20/01/2005,5.14875
21/01/2005,5.13025
22/01/2005,4.98625
23/01/2005,5.0995
24/01/2005,5.16925
25/01/2005,5.23175
26/01/2005,5.234
27/01/2005,5.268
28/01/2005,5.31325
29/01/2005,5.25925
30/01/2005,5.3085
31/01/2005,5.3625
01/02/2005,5.36575
02/02/2005,5.38
03/02/2005,5.40975
04/02/2005,5.3995
05/02/2005,5.5635
06/02/2005,5.7595
07/02/2005,5.912
08/02/2005,6.23325
09/02/2005,6.90875
10/02/2005,6.42925
11/02/2005,6.30475
12/02/2005,6.33175
13/02/2005,6.37125
14/02/2005,6.3355
15/02/2005,6.768
16/02/2005,7.33475
17/02/2005,6.74225
18/02/2005,6.286
19/02/2005,5.08375
20/02/2005,5.12175
21/02/2005,5.3015
22/02/2005,5.31175
23/02/2005,5.352
24/02/2005,5.3805
25/02/2005,5.343
26/02/2005,5.389
27/02/2005,5.38175
28/02/2005,5.38025
01/03/2005,5.358
02/03/2005,5.33325
03/03/2005,5.394
04/03/2005,5.4395
05/03/2005,5.45575
06/03/2005,5.5415
07/03/2005,5.4965
08/03/2005,5.59725
09/03/2005,5.657
10/03/2005,5.7855
11/03/2005,5.90075
12/03/2005,5.8985
13/03/2005,5.959
14/03/2005,6.01975
15/03/2005,6.07975
16/03/2005,6.14475
17/03/2005,6.2695
18/03/2005,6.6735
19/03/2005,6.7915
20/03/2005,6.787
21/03/2005,7.0925
22/03/2005,7.29425
23/03/2005,6.61925
24/03/2005,5.955
25/03/2005,6.2195
26/03/2005,6.6535
27/03/2005,7.16225
28/03/2005,6.2915
29/03/2005,6.29225
30/03/2005,7.403
